epoch,train_loss,mean_motion_penalty,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,1.988121,0.128111,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,1.970484,0.123276,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,1.969718,0.121123,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,1.956456,0.120726,0.308468,0.089084,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,1.921202,0.118466,0.358871,0.171598,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,1.823887,0.114119,0.393145,0.238526,0.000000,0.000000,0.000000,4,1,0.005531,-0.000553,0,0,0,0,1
7,1.665916,0.112341,0.493952,0.369839,0.295455,0.000000,0.000000,6,23,0.032080,0.100201,0,0,0,0,1
8,1.599201,0.112739,0.506048,0.402393,0.022727,0.000000,0.000000,0,1,0.001106,0.007844,0,0,0,0,1
9,1.545801,0.114796,0.512097,0.394796,0.068182,0.000000,0.000000,0,0,0.000000,0.023864,0,0,0,0,0
10,1.486030,0.109679,0.588710,0.506498,0.886364,0.204545,0.136364,78,100,0.196903,0.372355,0,0,0,0,1
11,1.364061,0.105104,0.669355,0.636365,0.931818,0.090909,0.022727,49,71,0.132743,0.332180,0,0,0,0,1
12,1.367236,0.105206,0.675403,0.655902,0.840909,0.022727,0.022727,21,38,0.065265,0.300292,0,0,0,0,1
13,1.358453,0.112091,0.659274,0.619054,0.840909,0.022727,0.000000,13,26,0.043142,0.292277,0,0,0,0,0
14,1.259480,0.094746,0.689516,0.670746,0.909091,0.136364,0.022727,49,77,0.139381,0.328107,0,0,0,0,1
15,1.213041,0.091221,0.669355,0.633733,0.886364,0.022727,0.000000,25,52,0.085177,0.303982,0,0,0,0,0
16,1.097605,0.078238,0.653226,0.615444,0.545455,0.022727,0.022727,6,11,0.018805,0.201529,0,0,0,0,0
17,1.214661,0.099967,0.713710,0.691037,0.909091,0.295455,0.136364,43,63,0.117257,0.397365,1,1,1,1,1
18,1.136466,0.080730,0.643145,0.640081,0.977273,0.659091,0.431818,117,146,0.290929,0.573180,0,0,0,0,0
19,1.140388,0.096622,0.715726,0.707692,0.886364,0.386364,0.022727,44,69,0.125000,0.346591,1,0,0,0,1
20,1.101344,0.086352,0.723790,0.702683,0.909091,0.136364,0.022727,23,43,0.073009,0.334745,1,0,0,0,0
21,1.127665,0.091034,0.752016,0.731127,0.886364,0.090909,0.000000,17,31,0.053097,0.314008,1,0,0,0,1
22,1.069115,0.085238,0.739919,0.719643,0.909091,0.500000,0.136364,50,71,0.133850,0.416160,1,1,0,0,0
23,1.038431,0.082945,0.747984,0.728532,0.954545,0.568182,0.136364,54,79,0.147124,0.437560,1,1,0,0,0
24,1.038148,0.077955,0.737903,0.711082,0.909091,0.568182,0.272727,61,81,0.157080,0.482019,1,1,1,0,0
25,0.978240,0.075714,0.752016,0.730636,0.886364,0.295455,0.045455,27,45,0.079646,0.352263,1,0,0,0,0
26,1.024629,0.086215,0.768145,0.752297,0.886364,0.159091,0.022727,13,25,0.042035,0.332160,1,0,0,0,1
27,0.953493,0.074339,0.786290,0.756457,0.954545,0.431818,0.090909,48,69,0.129425,0.405239,1,0,0,0,1
28,0.899462,0.071081,0.764113,0.747215,0.954545,0.454545,0.181818,47,60,0.118363,0.449527,1,0,0,1,0
29,1.037901,0.081095,0.707661,0.671427,0.840909,0.363636,0.045455,32,45,0.085177,0.342619,1,0,0,0,0
30,0.864598,0.059396,0.790323,0.771889,0.977273,0.454545,0.136364,44,60,0.115044,0.437359,1,0,0,0,1
31,0.951401,0.076287,0.784274,0.770917,0.954545,0.500000,0.181818,38,49,0.096239,0.456285,1,0,0,1,0
32,0.887170,0.059859,0.792339,0.771937,0.977273,0.340909,0.090909,28,36,0.070796,0.409966,1,0,0,0,1
33,0.890181,0.064898,0.766129,0.742862,0.909091,0.500000,0.113636,45,70,0.127212,0.406597,1,0,0,0,0
34,0.876788,0.067903,0.800403,0.794828,0.909091,0.227273,0.045455,17,31,0.053097,0.356054,1,0,0,0,1
35,0.810549,0.057310,0.792339,0.783015,0.931818,0.181818,0.022727,19,23,0.046460,0.349899,1,0,0,0,0
